Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather,rain
1/1/2012 0:00,-1.8,-3.9,86,4,8,101.24,2,18.5356
1/1/2012 1:00,-1.8,-3.7,87,4,8,101.24,2,16.2548
1/1/2012 2:00,-1.8,-3.4,89,7,4,101.26,3,70.7981
1/1/2012 3:00,-1.5,-3.2,88,6,4,101.27,3,66.1616
1/1/2012 4:00,-1.5,-3.3,88,7,4.8,101.23,2,267.215
1/1/2012 5:00,-1.4,-3.3,87,9,6.4,101.27,2,341.042
1/1/2012 6:00,-1.5,-3.1,89,7,6.4,101.29,2,540.907
1/1/2012 7:00,-1.4,-3.6,85,7,8,101.26,2,493.21
1/1/2012 8:00,-1.4,-3.6,85,9,8,101.23,2,291.549
1/1/2012 9:00,-1.3,-3.1,88,15,4,101.2,2,199.171
1/1/2012 10:00,-1,-2.3,91,9,1.2,101.15,2,126.285
1/1/2012 11:00,-0.5,-2.1,89,7,4,100.98,2,1.69035
1/1/2012 12:00,-0.2,-2,88,9,4.8,100.79,2,1.29152
1/1/2012 13:00,0.2,-1.7,87,13,4.8,100.58,2,0.14722
1/1/2012 14:00,0.8,-1.1,87,20,4.8,100.31,2,62.7686
1/1/2012 15:00,1.8,-0.4,85,22,6.4,100.07,2,229.589
1/1/2012 16:00,2.6,-0.2,82,13,12.9,99.93,2,302.197
1/1/2012 17:00,3,0,81,13,16.1,99.81,2,528.775
1/1/2012 18:00,3.8,1,82,15,12.9,99.74,3,415.257
1/1/2012 19:00,3.1,1.3,88,15,12.9,99.68,3,435.166
1/1/2012 20:00,3.2,1.3,87,19,25,99.5,2,282.872
1/1/2012 21:00,4,1.7,85,20,25,99.39,2,76.6518
1/1/2012 22:00,4.4,1.9,84,24,19.3,99.32,3,4.48053
1/1/2012 23:00,5.3,2,79,30,25,99.31,2,6.51869
1/2/2012 0:00,5.2,1.5,77,35,25,99.26,3,2.4001
1/2/2012 1:00,4.6,0,72,39,25,99.26,2,16.7112
1/2/2012 2:00,3.9,-0.9,71,32,25,99.26,2,35.0165
1/2/2012 3:00,3.7,-1.5,69,33,25,99.3,2,79.8924
1/2/2012 4:00,2.9,-2.3,69,32,25,99.26,2,206.714
1/2/2012 5:00,2.6,-2.3,70,32,25,99.21,2,606.088
1/2/2012 6:00,2.3,-2.6,70,26,25,99.18,2,376.786
1/2/2012 7:00,2,-2.9,70,33,25,99.14,2,401.075
1/2/2012 8:00,1.9,-3.3,68,39,24.1,99.14,2,288.777
1/2/2012 9:00,1.8,-3.7,67,44,24.1,99.14,2,190.116
1/2/2012 10:00,1.5,-4.1,66,43,24.1,99.18,2,53.8007
1/2/2012 11:00,2.2,-3.5,66,30,24.1,99.19,2,0.0104
1/2/2012 12:00,1.7,-6.2,56,48,24.1,99.21,1,0.3257
1/2/2012 13:00,1.1,-6.5,57,37,24.1,99.27,2,40.4723
1/2/2012 14:00,1.1,-6.8,56,33,24.1,99.33,2,32.017
1/2/2012 15:00,0,-7,59,33,24.1,99.41,2,169.242
1/2/2012 16:00,-0.7,-8.7,55,24,24.1,99.5,2,317.756
1/2/2012 17:00,-2.1,-9.5,57,22,25,99.66,3,525.691
1/2/2012 18:00,-4.1,-11.4,57,28,25,99.86,2,707.404
1/2/2012 19:00,-4.8,-12.1,57,24,25,100,2,367.376
1/2/2012 20:00,-5.6,-13.4,54,24,25,100.07,3,181.867
1/2/2012 21:00,-5.8,-12.8,58,26,25,100.15,3,72.9881
1/2/2012 22:00,-7,-14.7,54,20,25,100.26,2,32.9518
1/2/2012 23:00,-7.4,-14.1,59,17,19.3,100.27,3,1.97838
1/3/2012 0:00,-9,-16,57,28,25,100.35,3,7.07224
1/3/2012 1:00,-9.7,-17.2,54,20,25,100.43,2,22.9071
1/3/2012 2:00,-10.5,-15.8,65,22,12.9,100.53,3,78.9631
1/3/2012 3:00,-11.3,-18.7,54,33,25,100.61,3,203.005
1/3/2012 4:00,-12.6,-20.1,53,24,25,100.68,2,315.752
1/3/2012 5:00,-12.9,-19.1,60,22,25,100.76,3,224.887
1/3/2012 6:00,-13.3,-19.3,61,19,25,100.85,3,559.799
1/3/2012 7:00,-14,-19.5,63,19,25,100.95,3,624.073
1/3/2012 8:00,-14.8,-21.3,58,26,24.1,101.07,2,623.689
1/3/2012 9:00,-15,-21.9,56,19,24.1,101.2,2,133.63
1/3/2012 10:00,-15.3,-22.2,56,24,24.1,101.29,2,4.91701
1/3/2012 11:00,-14.9,-22.2,54,22,24.1,101.33,2,7.61877
1/3/2012 12:00,-14.9,-22.6,52,20,24.1,101.34,1,13.9546
1/3/2012 13:00,-15.1,-22.4,54,22,24.1,101.34,1,65.6833
1/3/2012 14:00,-14.9,-22.9,50,22,24.1,101.38,1,53.425
1/3/2012 15:00,-14.8,-22.2,53,19,24.1,101.44,1,29.6299
1/3/2012 16:00,-15.3,-22.9,52,22,24.1,101.51,1,229.508
1/3/2012 17:00,-15.8,-23.2,53,22,24.1,101.58,1,357.968
1/3/2012 18:00,-16.3,-23.8,52,24,25,101.64,1,487.922
1/3/2012 19:00,-16.9,-24.8,50,24,25,101.74,1,388.641
1/3/2012 20:00,-17.3,-25.4,49,24,25,101.82,1,212.273
1/3/2012 21:00,-17,-24.6,52,15,25,101.86,2,185.89
